NAME,population,median_income,zip_code
ZCTA5 00601,16721,18571,00601
ZCTA5 00602,37510,21702,00602
ZCTA5 00603,48317,19243,00603
ZCTA5 00606,5435,20226,00606
ZCTA5 00610,25413,23732,00610
ZCTA5 00611,1522,22566,00611
ZCTA5 00612,62462,23831,00612
ZCTA5 00616,9836,21391,00616
ZCTA5 00617,22699,22010,00617
ZCTA5 00622,7950,26682,00622
ZCTA5 00623,39005,25614,00623
ZCTA5 00624,21374,21091,00624
ZCTA5 00627,32753,26094,00627
ZCTA5 00631,1357,18295,00631
ZCTA5 00636,1071,-666666666,00636
ZCTA5 00637,22884,20665,00637
ZCTA5 00638,17410,20878,00638
ZCTA5 00641,23962,17839,00641
ZCTA5 00646,36099,33184,00646
ZCTA5 00647,4611,20357,00647
ZCTA5 00650,13457,19811,00650
ZCTA5 00652,4492,31653,00652
ZCTA5 00653,8665,15225,00653
ZCTA5 00656,17815,21511,00656
ZCTA5 00659,37203,27297,00659
ZCTA5 00660,15439,24829,00660
ZCTA5 00662,40705,20673,00662
ZCTA5 00664,14816,18065,00664
ZCTA5 00667,23116,18729,00667
ZCTA5 00669,27534,19198,00669
ZCTA5 00670,8553,16278,00670
ZCTA5 00674,39288,20039,00674
ZCTA5 00676,36836,21230,00676
ZCTA5 00677,15432,24746,00677
ZCTA5 00678,24848,22994,00678
ZCTA5 00680,42817,17857,00680
ZCTA5 00682,29939,18067,00682
ZCTA5 00683,29431,18231,00683
ZCTA5 00685,40323,17909,00685
ZCTA5 00687,28534,23010,00687
ZCTA5 00688,10985,18014,00688
ZCTA5 00690,6275,24386,00690
ZCTA5 00692,32717,25486,00692
ZCTA5 00693,55725,24072,00693
ZCTA5 00694,125,15938,00694
ZCTA5 00698,32945,21921,00698
ZCTA5 00703,24642,22147,00703
ZCTA5 00704,6433,23330,00704
ZCTA5 00705,24475,21806,00705
ZCTA5 00707,10400,19173,00707
ZCTA5 00714,15573,18931,00714
ZCTA5 00715,2003,15743,00715
ZCTA5 00716,27705,19522,00716
ZCTA5 00717,14651,13282,00717
ZCTA5 00718,23174,21481,00718
ZCTA5 00719,29732,21089,00719
ZCTA5 00720,20974,19049,00720
ZCTA5 00723,15835,23599,00723
ZCTA5 00725,76246,27505,00725
ZCTA5 00727,53412,33403,00727
ZCTA5 00728,37322,20351,00728
ZCTA5 00729,47653,28765,00729
ZCTA5 00730,31976,18077,00730
ZCTA5 00731,10221,16917,00731
ZCTA5 00735,11159,23009,00735
ZCTA5 00736,45528,28652,00736
ZCTA5 00738,29797,25365,00738
ZCTA5 00739,34595,26801,00739
ZCTA5 00740,1959,23173,00740
ZCTA5 00741,3733,25827,00741
ZCTA5 00745,47077,26980,00745
ZCTA5 00751,19596,20947,00751
ZCTA5 00754,36822,21193,00754
ZCTA5 00757,19974,23350,00757
ZCTA5 00765,8147,17531,00765
ZCTA5 00766,21829,24906,00766
ZCTA5 00767,30453,21414,00767
ZCTA5 00769,33953,20514,00769
ZCTA5 00771,35165,25662,00771
ZCTA5 00772,16961,18408,00772
ZCTA5 00773,17631,23769,00773
ZCTA5 00775,1281,27614,00775
ZCTA5 00777,37243,28175,00777
ZCTA5 00778,40391,39564,00778
ZCTA5 00780,13612,26483,00780
ZCTA5 00782,18397,17090,00782
ZCTA5 00783,34266,24429,00783
ZCTA5 00784,35405,20347,00784
ZCTA5 00786,135,-666666666,00786
ZCTA5 00791,45912,25925,00791
ZCTA5 00794,28450,22128,00794
ZCTA5 00795,43212,23391,00795
ZCTA5 00901,6762,25810,00901
ZCTA5 00906,46,-666666666,00906
ZCTA5 00907,15911,42116,00907
ZCTA5 00909,5466,26066,00909
ZCTA5 00911,7430,44008,00911
ZCTA5 00912,6219,29418,00912
ZCTA5 00913,6700,6229,00913
ZCTA5 00915,24484,14502,00915
ZCTA5 00917,18216,19516,00917
ZCTA5 00918,16379,36872,00918
ZCTA5 00920,16403,29914,00920
ZCTA5 00921,34197,21797,00921
ZCTA5 00923,24826,18482,00923
ZCTA5 00924,47800,22433,00924
ZCTA5 00925,4777,14940,00925
ZCTA5 00926,93308,39543,00926
ZCTA5 00927,13675,39838,00927
ZCTA5 00934,80,-666666666,00934
ZCTA5 00949,66714,33380,00949
ZCTA5 00950,0,-666666666,00950
ZCTA5 00951,399,22222,00951
ZCTA5 00952,8488,21960,00952
ZCTA5 00953,66475,33888,00953
ZCTA5 00956,67050,28674,00956
ZCTA5 00957,40357,29663,00957
ZCTA5 00959,46409,31400,00959
ZCTA5 00960,3340,-666666666,00960
ZCTA5 00961,28891,37015,00961
ZCTA5 00962,19213,20134,00962
ZCTA5 00965,5886,16516,00965
ZCTA5 00966,17715,56421,00966
ZCTA5 00968,3488,60353,00968
ZCTA5 00969,41619,58205,00969
ZCTA5 00971,25499,32098,00971
ZCTA5 00976,61306,38087,00976
ZCTA5 00979,15597,35521,00979
ZCTA5 00982,13839,26550,00982
ZCTA5 00983,31583,33930,00983
ZCTA5 00985,31783,35012,00985
ZCTA5 00987,55039,40295,00987
ZCTA5 01001,16136,71924,01001
ZCTA5 01002,24726,69411,01002
ZCTA5 01003,12458,-666666666,01003
ZCTA5 01005,4786,97390,01005
ZCTA5 01007,15406,99056,01007
ZCTA5 01008,1324,90625,01008
ZCTA5 01009,790,70763,01009
ZCTA5 01010,3694,101477,01010
ZCTA5 01011,1205,87012,01011
ZCTA5 01012,387,75526,01012
ZCTA5 01013,22950,64039,01013
ZCTA5 01020,30230,70971,01020
ZCTA5 01022,2045,56307,01022
ZCTA5 01026,1005,98438,01026
ZCTA5 01027,17678,73657,01027
ZCTA5 01028,16283,100997,01028
ZCTA5 01029,652,99188,01029
ZCTA5 01030,12374,92485,01030
ZCTA5 01031,1715,58125,01031
ZCTA5 01032,503,79583,01032
ZCTA5 01033,6088,110188,01033
ZCTA5 01034,2100,103603,01034
ZCTA5 01035,5299,117580,01035
ZCTA5 01036,4937,110703,01036
ZCTA5 01037,486,84022,01037
ZCTA5 01038,2534,112083,01038
ZCTA5 01039,1660,115114,01039
ZCTA5 01040,37949,51892,01040
ZCTA5 01050,2573,96328,01050
ZCTA5 01053,2033,88646,01053
ZCTA5 01054,1704,113750,01054
ZCTA5 01056,20846,78981,01056
ZCTA5 01057,8200,90436,01057
ZCTA5 01060,15237,75077,01060
ZCTA5 01062,9188,87800,01062
ZCTA5 01063,2121,250001,01063
ZCTA5 01066,115,-666666666,01066
ZCTA5 01068,1623,96207,01068
ZCTA5 01069,9077,79725,01069
ZCTA5 01070,593,72083,01070
ZCTA5 01071,1219,107292,01071
ZCTA5 01072,1447,103188,01072
ZCTA5 01073,6212,125534,01073
ZCTA5 01074,749,76859,01074
ZCTA5 01075,17410,93646,01075
ZCTA5 01077,9222,108833,01077
ZCTA5 01079,282,-666666666,01079
ZCTA5 01080,2308,87188,01080
ZCTA5 01081,1704,87337,01081
ZCTA5 01082,10418,71023,01082
